"Marca temporal","¿Cuál es tu edad?","¿Cuál es tu genero?","  Tipo de institución donde cursas o cursarás ","Estatus académico actual ","Estado donde estudias o estudiaste"," ¿Qué promedio general tienes actualmente o tuviste al egresar de la preparatoria?  ","  ¿Has utilizado antes un test vocacional?  ","Si lo usaste, ¿Qué tan útil fue para ti? ","¿Qué fuentes usas más para decidir tu carrera? ","¿Cuánto tiempo dedicas o dedicabas a investigar sobre carreras y universidades cada semana?  ","¿Qué dispositivo usas más para investigar o estudiar?  ","  ¿Cómo describirías tu acceso a internet?  ","Plataformas que usas más para aprender o investigar (elige todas las que apliquen):  ","¿Qué formatos prefieres para recibir orientación vocacional?  ","   ¿Te interesaría usar un sistema que prediga tu carrera ideal en menos de 10 minutos?  ","  ¿Confiarías en un sistema basado en inteligencia artificial para orientarte?  ","  ¿Qué beneficio esperarías de un sistema predictivo de carreras?  ","Describe en una frase qué características debería tener un sistema ideal para ayudarte a elegir carrera.  
  (Respuesta breve, máximo 20 palabras)  ","¿Qué te ha frustrado más al intentar elegir una carrera universitaria?","¿Estarías dispuesto a responder un test digital si te da una recomendación personalizada de carrera?  ","Y si respondiste que si ¿Crees que un sistema así podría ayudarte a tomar una mejor decisión vocacional?  ","En una frase, describe qué características debería tener un sistema ideal para ayudarte a elegir carrera.  
  (Respuesta breve, máximo 20 palabras)  ","¿Conoces otras plataformas o herramientas de orientación vocacional?  ","Si respondiste sí, ¿Cuál consideras la mejor y por qué?  ","Si respondiste sí,  Califica tu nivel de satisfacción con las herramientas de orientación vocacional que has probado  ","En tu opinión, ¿qué problema principal tienen los tests vocacionales actuales?  "
"2025/09/21 4:06:24 p. m. GMT-6","23 años o más","Masculino","Publica","Estudiante de preparatoria o bachillerato","Chiapas","Aún no he egresado de la preparatoria","No, nunca","1","Internet (Google, foros, páginas de universidades)","Menos de 1 hora","Teléfono móvil","Solo en casa","Wikipedia","Video explicativo","Talvez","4","Mayor precisión en la elección","Enfoque selectivo en base a los presupuestos ","Presión familiar o social","Tal vez","Probablemente sí","Orientacion basica sobre primera interaccion.","No","","","No sabria decirlo ya que no los he usado "
"2025/09/21 4:07:07 p. m. GMT-6","21-22  años","Masculino","Publica","Estudiante universitario (avanzado)","Chiapas","6.0 – 6.9","Sí, una o dos veces","3","Familiares","Nada o casi nada","Teléfono móvil","Siempre disponible","Wikipedia","Texto breve","Si","3","Recomendaciones personalizadas","Que sea breve y exacto dependiendo de la persona ","Falta de información clara","Sí","No lo sé","Que tenga información variada","No","   ","3","No son hechos con seriedad "
"2025/09/21 4:12:12 p. m. GMT-6","21-22  años","Femenino","Publica","Estudiante universitario (avanzado)","Chiapas","9.0 – 10.0","No, pero he escuchado de ellos","3","Amigos o compañeros","3–5 horas","Teléfono móvil","Siempre disponible (Wifi y datos)","YouTube;TikTok;Coursera / Khan Academy","Infografía visual;Chat interactivo (tipo chatbot);Mapa comparativo de carreras","Si","3","Recomendaciones personalizadas","Que concuerde a mi perfil y sea accesible ","Falta de información clara","Sí","Sí, definitivamente","Que concuerde con mi perfil ","No","","","No sé, no he utilizado"
"2025/09/21 4:15:57 p. m. GMT-6","21-22  años","Masculino","Publica","Estudiante universitario (avanzado)","Chiapas","9.0 – 10.0","Sí, una o dos veces","3","Internet (Google, foros, páginas de universidades)","Menos de 1 hora","Teléfono móvil","Siempre disponible (Wifi y datos)","YouTube;Instagram","Texto breve;Chat interactivo (tipo chatbot);Test tipo juego;Mapa comparativo de carreras","Si","3","Información clara","Multiples elecciones de carreras, muchos test's para ver todas mis areas de oportunidad ","Falta de información clara","Sí","Probablemente sí","Múltiples carreras, multiples test's para ver todas mis areas de oportunidad ","No","","","No se toman el tiempo suficiente para conocer todas tus áreas de interés "
"2025/09/21 4:18:53 p. m. GMT-6","21-22  años","Prefiero no decirlo","Privada","Estudiante universitario (avanzado)","Chiapas","8.0 – 8.9","No, nunca","1","Familiares","Menos de 1 hora","Computadora de escritorio","Siempre disponible (Wifi y datos)","YouTube;Coursera / Khan Academy","Test tipo juego","No","1","Descubrimiento de carreras que no conocía","Que lo escoja por mi cuenta. Sinceramente no dejaría mi futuro en manos de algo así","Presión familiar o social","No","","No utilizaría algo así","No","","","No los utiizo"
"2025/09/21 4:22:46 p. m. GMT-6","19-20  años","Masculino","Publica","Estudiante universitario (avanzado)","Chiapas","8.0 – 8.9","Sí, una o dos veces","3","Amigos o compañeros","Nada o casi nada","Computadora portátil","Siempre disponible (Wifi y datos)","YouTube;TikTok","Infografía visual;Mapa comparativo de carreras","Si","4","Mayor precisión en la elección","Gustos, lo que me apasiona y actividades que eh realizado ","Presión familiar o social","Sí","Probablemente sí","Que manden información de las personas ","No","","","Muy repetitivos"
"2025/09/21 4:55:18 p. m. GMT-6","23 años o más","Femenino","Publica","Egresado universitario","Chiapas","9.0 – 10.0","Sí, varias veces y en diferentes formatos","5","Internet (Google, foros, páginas de universidades)","Menos de 1 hora","Computadora portátil","Solo en casa (Solo wifi)","Wikipedia","Test tipo juego","Si","4","Ahorro de tiempo","Fácil y rápido ","Los tests vocacionales son confusos","Sí","Sí, definitivamente","Fácil y rápido ","No","","","Confusos "
"2025/09/21 5:12:22 p. m. GMT-6","23 años o más","Masculino","Publica","No estudio actualmente","Chiapas","9.0 – 10.0","Sí, una o dos veces","3","Orientador escolar","1–2 horas","Teléfono móvil","Solo en casa (Solo wifi)","YouTube;Instagram;Wikipedia","Texto breve;Video explicativo;Test tipo juego","Si","4","Información clara","Actualizada y clara","Falta de información clara","Sí","Probablemente sí","Confiable","No","","2","Aburridos"
"2025/09/21 5:16:41 p. m. GMT-6","19-20  años","Masculino","Publica","No estudio actualmente","Quintana Roo","8.0 – 8.9","Sí, una o dos veces","2","Internet (Google, foros, páginas de universidades)","3–5 horas","Computadora de escritorio","Solo en casa (Solo wifi)","YouTube;Wikipedia","Texto breve;Infografía visual","Talvez","1","Mayor precisión en la elección","Precision","No","No","Probablemente sí","Presidion ","No","nada","3","son algo vagas en sus respuestas"
"2025/09/21 5:26:29 p. m. GMT-6","23 años o más","Masculino","Publica","No estudio actualmente","Chiapas","8.0 – 8.9","Sí, una o dos veces","4","Orientador escolar","1–2 horas","Teléfono móvil","Siempre disponible (Wifi y datos)","YouTube","Video explicativo","Si","4","Ahorro de tiempo","Versz","Falta de información clara","Sí","Sí, definitivamente","Que explique fácil ","No","","","Que no se le entienden"
"2025/09/21 5:28:00 p. m. GMT-6","23 años o más","Femenino","Publica","No estudio actualmente","Chiapas","8.0 – 8.9","Sí, una o dos veces","4","Orientador escolar","Menos de 1 hora","Teléfono móvil","Solo en casa (Solo wifi)","YouTube;Wikipedia","Video explicativo","Si","3","Recomendaciones personalizadas","Que explique claramente ","Falta de información clara","Sí","Probablemente sí","Que sea fácil de entender ","No","","","Falta de claridad "
"2025/09/21 5:41:38 p. m. GMT-6","23 años o más","Femenino","Publica","Estudiante universitario (avanzado)","Chiapas","Prefiero no decirlo","No, pero he escuchado de ellos","3","Eventos universitarios","Nada o casi nada","Teléfono móvil","Siempre disponible (Wifi y datos)","YouTube;Instagram","Infografía visual","Talvez","2","Descubrimiento de carreras que no conocía","preciso, breve y asertivo ","Muchas opciones y no sé cuál elegir","Sí","No lo sé","conciso, ","No","","","Suelen ser imprecisos o no van de acuerdo a las opciones económicas del individuo, cosa que también influye en la elección de una carrera vocacional"
"2025/09/21 5:43:39 p. m. GMT-6","23 años o más","Masculino","Privada","Egresado universitario","Chiapas","8.0 – 8.9","No, pero he escuchado de ellos","1","Orientador escolar","Nada o casi nada","Teléfono móvil","Siempre disponible (Wifi y datos)","Wikipedia","Texto breve","Si","5","Ahorro de tiempo","Resolver","Falta de información clara","Sí","Sí, definitivamente","Preciso","No","","","Turbios"
